key,fc_ratio,fc_weight,sc_weight,xyz_weight,anchor_top1,anchor_top5,anchor_pair_id,anchor_mean_rank,anchor_mean_xyz_dist,fc_translation_r,fc_within_r,fc_cross_r,n_human_nodes_kept,elapsed_s,score
fc0.000_sc1.000_xyz0.250,0.0,0.0,1.0,0.25,0.6904761904761905,0.9761904761904762,0.7380952380952381,1.5,0.042999288500260475,0.34433296710312833,0.42860419826067864,0.16190923838642302,797,45.2,0.5169516638525163
fc0.000_sc1.000_xyz0.750,0.0,0.0,1.0,0.75,0.6904761904761905,1.0,0.7619047619047619,1.4285714285714286,0.05527565580890511,0.3476851673781,0.41927174621910435,0.172936186743632,1003,45.4,0.5162584435404416
fc1.000_sc0.000_xyz1.000,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.7380952380952381,1.5238095238095237,0.06232523505230133,0.3609347892757989,0.4400242633829973,0.18395650611667208,1311,40.4,0.514332028923129
fc0.300_sc0.700_xyz1.000,0.3,0.3,0.7,1.0,0.6666666666666666,1.0,0.7619047619047619,1.5238095238095237,0.08218218921890834,0.35316955841330777,0.4308994476956692,0.17706383641480444,1202,45.3,0.5097892349837915
fc0.000_sc1.000_xyz1.000,0.0,0.0,1.0,1.0,0.6190476190476191,1.0,0.7142857142857143,1.5952380952380953,0.08627970731593061,0.3516186562376775,0.4230976198860837,0.17809246941040607,1074,44.7,0.4862574822318324
fc1.000_sc0.000_xyz0.000,1.0,1.0,0.0,0.0,0.30952380952380953,0.8809523809523809,0.6190476190476191,2.857142857142857,0.20046918752850965,0.48780816569641733,0.45069163601909323,0.47252999796567186,2059,37.4,0.400156899483279
fc0.900_sc0.100_xyz0.000,0.9,0.9,0.09999999999999998,0.0,0.30952380952380953,0.8809523809523809,0.6190476190476191,2.9047619047619047,0.19593028724759795,0.49051558206515766,0.42548766586222375,0.46220313242746075,2074,40.5,0.39606370118096423
fc0.800_sc0.200_xyz0.000,0.8,0.8,0.19999999999999996,0.0,0.2619047619047619,0.8809523809523809,0.5714285714285714,2.9523809523809526,0.21690948926035217,0.47184171018267645,0.3872676583341368,0.423258425931322,2062,41.4,0.36045527308790704
fc0.700_sc0.300_xyz0.000,0.7,0.7,0.30000000000000004,0.0,0.2619047619047619,0.8571428571428571,0.5476190476190477,3.119047619047619,0.2269322730151507,0.40180192565440465,0.33828011507104966,0.34720761164572295,2049,45.1,0.3261438398503944
fc0.600_sc0.400_xyz0.000,0.6,0.6,0.4,0.0,0.2619047619047619,0.8809523809523809,0.5714285714285714,3.0,0.22783469652382346,0.3394857421211279,0.31629418930833225,0.28559085811712115,1882,43.5,0.2999359904612041
fc0.500_sc0.500_xyz0.000,0.5,0.5,0.5,0.0,0.23809523809523808,0.9285714285714286,0.5476190476190477,2.738095238095238,0.22732464023192864,0.3064833223944077,0.3548265635326711,0.22326928158155146,1689,44.6,0.28537733268743404
fc0.000_sc1.000_xyz0.000,0.0,0.0,1.0,0.0,0.2857142857142857,0.9047619047619048,0.5714285714285714,2.857142857142857,0.1998094746643586,0.24285619925803237,0.29970094840346706,0.12575405858666605,1023,45.2,0.2735112879924333
fc0.300_sc0.700_xyz0.000,0.3,0.3,0.7,0.0,0.21428571428571427,0.9285714285714286,0.47619047619047616,2.857142857142857,0.2377056762826839,0.2251506088173746,0.32048939401554,0.1356542214545286,1469,45.3,0.23932916331776055
